,,,,,perplexity,trainTime
RNN,64,1,True,50,17.21297943952246,0.5016627311706543
RNN,64,1,True,100,5.209932142618942,0.49934887886047363
RNN,64,1,True,150,3.2681219699979334,0.5117602348327637
RNN,64,1,True,200,2.5425094709992786,0.5376462936401367
RNN,64,1,True,250,2.1639946995439683,0.5142788887023926
RNN,64,1,False,50,17.244132702634584,0.5283238887786865
RNN,64,1,False,100,5.045402614135987,0.5215799808502197
RNN,64,1,False,150,3.2852230165552254,0.5003883838653564
RNN,64,1,False,200,2.476048847565012,0.5314528942108154
RNN,64,1,False,250,2.13237009924521,0.5156457424163818
RNN,64,2,True,50,17.233592587706653,0.5521526336669922
RNN,64,2,True,100,5.089700940625449,0.49567532539367676
RNN,64,2,True,150,3.290094903843529,0.49854040145874023
RNN,64,2,True,200,2.4926693802073716,0.4995846748352051
RNN,64,2,True,250,2.186848931079342,0.5116643905639648
RNN,64,2,False,50,16.479769027985498,0.5031802654266357
RNN,64,2,False,100,5.070697039504567,0.507838249206543
RNN,64,2,False,150,3.3585722346339155,0.49932408332824707
RNN,64,2,False,200,2.513559933888007,0.5202693939208984
RNN,64,2,False,250,2.1050186602818846,0.5044925212860107
RNN,64,3,True,50,16.579155981389963,0.5363717079162598
RNN,64,3,True,100,5.009246014324768,0.5689554214477539
RNN,64,3,True,150,3.270955085405257,0.5586247444152832
RNN,64,3,True,200,2.5248146286206894,0.514190673828125
RNN,64,3,True,250,2.117077868469554,0.5026061534881592
RNN,64,3,False,50,17.156435917660303,0.5078048706054688
RNN,64,3,False,100,5.240082519990756,0.9650280475616455
RNN,64,3,False,150,3.415309493924253,0.9299736022949219
RNN,64,3,False,200,2.524836218750777,0.9477298259735107
RNN,64,3,False,250,2.166384214387502,0.5295562744140625
RNN,128,1,True,50,5.031673138707861,0.5449330806732178
RNN,128,1,True,100,1.7067413825762463,0.5316941738128662
RNN,128,1,True,150,1.2431271462375948,0.5625925064086914
RNN,128,1,True,200,1.1248870453372952,0.5566906929016113
RNN,128,1,True,250,1.0655032038027268,0.5412478446960449
RNN,128,1,False,50,5.131715905428342,0.5527653694152832
RNN,128,1,False,100,1.7523663032039913,0.5627505779266357
RNN,128,1,False,150,1.2453301469551088,0.5545358657836914
RNN,128,1,False,200,1.1119617342319366,0.5344953536987305
RNN,128,1,False,250,1.0668098551011906,0.5354456901550293
RNN,128,2,True,50,4.870506534135733,0.5565075874328613
RNN,128,2,True,100,1.724450667100445,0.5323472023010254
RNN,128,2,True,150,1.2411898230823415,0.5275883674621582
RNN,128,2,True,200,1.1114440079979586,0.5331921577453613
RNN,128,2,True,250,1.0685611590748882,0.5518839359283447
RNN,128,2,False,50,5.301021299677012,0.5491681098937988
RNN,128,2,False,100,1.7188490764669477,0.5282776355743408
RNN,128,2,False,150,1.270556678478256,0.5565924644470215
RNN,128,2,False,200,1.1099413574454766,0.5556588172912598
RNN,128,2,False,250,1.0689622646089254,0.5309767723083496
RNN,128,3,True,50,5.0502318997441416,0.5336017608642578
RNN,128,3,True,100,1.6837654963128958,0.5572218894958496
RNN,128,3,True,150,1.2315385488739734,0.5249984264373779
RNN,128,3,True,200,1.1140074325923808,0.5501601696014404
RNN,128,3,True,250,1.0723011377341696,0.5491888523101807
RNN,128,3,False,50,4.971706544658032,0.5240144729614258
RNN,128,3,False,100,1.6935635608941666,0.5644378662109375
RNN,128,3,False,150,1.2441783840581455,0.5351738929748535
RNN,128,3,False,200,1.1099960702929794,0.5307064056396484
RNN,128,3,False,250,1.0660357418521818,0.5271179676055908
RNN,256,1,True,50,1.9882235616167565,0.6069362163543701
RNN,256,1,True,100,1.0820649025255802,0.6077215671539307
RNN,256,1,True,150,1.0460421632550903,0.5961377620697021
RNN,256,1,True,200,1.035285737523007,0.646146297454834
RNN,256,1,True,250,1.0187962217780842,0.6087296009063721
RNN,256,1,False,50,1.976609102176931,0.6437296867370605
RNN,256,1,False,100,1.0828765744992461,0.5989401340484619
RNN,256,1,False,150,1.0477041348242102,0.6079638004302979
RNN,256,1,False,200,1.0386484083778915,0.6243734359741211
RNN,256,1,False,250,1.0294537758112479,0.6383216381072998
RNN,256,2,True,50,1.9860947016690425,0.6123359203338623
RNN,256,2,True,100,1.0835479418292064,0.6099324226379395
RNN,256,2,True,150,1.045659988764242,0.5985338687896729
RNN,256,2,True,200,1.0537106430949728,0.6803171634674072
RNN,256,2,True,250,1.0200570571446652,0.6034893989562988
RNN,256,2,False,50,2.0337908358720616,0.6110341548919678
RNN,256,2,False,100,1.084347176286244,0.5991110801696777
RNN,256,2,False,150,1.0443195732864228,0.645272970199585
RNN,256,2,False,200,1.0322942590184472,0.6091902256011963
RNN,256,2,False,250,1.0204601765457104,0.6043789386749268
RNN,256,3,True,50,1.987150677120222,0.5944640636444092
RNN,256,3,True,100,1.0774970893458489,0.5997517108917236
RNN,256,3,True,150,1.043341299273137,0.6125993728637695
RNN,256,3,True,200,1.0292942045089055,0.6088652610778809
RNN,256,3,True,250,1.026255160520946,0.6154546737670898
RNN,256,3,False,50,2.0004904920266644,0.6562397480010986
RNN,256,3,False,100,1.0846713684235831,0.6089403629302979
RNN,256,3,False,150,1.047510883410435,0.607501745223999
RNN,256,3,False,200,1.0353720234840875,0.6095497608184814
RNN,256,3,False,250,1.0209963141289362,0.5974330902099609
RNN,512,1,True,50,1.1698333465076427,0.7900147438049316
RNN,512,1,True,100,1.0573429278618496,0.7771737575531006
RNN,512,1,True,150,1.0496706790657575,0.7988638877868652
RNN,512,1,True,200,1.0234830326621314,0.778343677520752
RNN,512,1,True,250,1.0229645736211814,0.7809126377105713
RNN,512,1,False,50,1.196698690336088,0.7948949337005615
RNN,512,1,False,100,1.060880541042042,0.7949047088623047
RNN,512,1,False,150,1.0415958591436232,0.7829351425170898
RNN,512,1,False,200,1.0404647329463357,0.7918858528137207
RNN,512,1,False,250,1.037012915496328,0.8268020153045654
RNN,512,2,True,50,1.2014305104692493,0.792017936706543
RNN,512,2,True,100,1.0597265587151805,0.7828848361968994
RNN,512,2,True,150,1.0335498867787252,0.779731035232544
RNN,512,2,True,200,1.0277111828955716,0.7848775386810303
RNN,512,2,True,250,1.1887471287972604,0.7903580665588379
RNN,512,2,False,50,1.2147400281065575,0.7830092906951904
RNN,512,2,False,100,1.0623704373891028,0.7769525051116943
RNN,512,2,False,150,1.0407180918690013,0.7894454002380371
RNN,512,2,False,200,1.0510651312532058,0.7764081954956055
RNN,512,2,False,250,1.0596513099006462,0.77085280418396
RNN,512,3,True,50,1.1846419276682376,0.7846016883850098
RNN,512,3,True,100,1.0628881673239288,0.7774584293365479
RNN,512,3,True,150,1.0255622863090426,0.7958776950836182
RNN,512,3,True,200,1.0235470568497815,0.7847731113433838
RNN,512,3,True,250,1.0253672775523979,0.773932933807373
RNN,512,3,False,50,1.2061703302782936,0.7749307155609131
RNN,512,3,False,100,1.0662654977295118,0.7752058506011963
RNN,512,3,False,150,1.025218798635487,0.781012773513794
RNN,512,3,False,200,1.0240519556939467,0.777090311050415
RNN,512,3,False,250,1.0349983873200088,0.7938623428344727
GRU,64,1,True,50,13.762176558601665,0.5306317806243896
GRU,64,1,True,100,3.9303441422608922,0.5271475315093994
GRU,64,1,True,150,2.525037746284931,0.5315818786621094
GRU,64,1,True,200,1.9660349964504134,0.5297214984893799
GRU,64,1,True,250,1.6790571494344166,0.5335755348205566
GRU,64,1,False,50,13.002319165340602,0.5355651378631592
GRU,64,1,False,100,3.8930189475132346,0.5275847911834717
GRU,64,1,False,150,2.5466223066686444,0.532252311706543
GRU,64,1,False,200,2.0228413323465264,0.5275917053222656
GRU,64,1,False,250,1.7301166376907533,0.5275919437408447
GRU,64,2,True,50,14.002175859316257,0.5265915393829346
GRU,64,2,True,100,4.00565165491759,0.5295591354370117
GRU,64,2,True,150,2.5707213804301596,0.5341906547546387
GRU,64,2,True,200,2.069393677988112,0.5315811634063721
GRU,64,2,True,250,2.1200276374552343,0.5377192497253418
GRU,64,2,False,50,13.859909079972462,0.5365381240844727
GRU,64,2,False,100,3.898198227671372,0.5445194244384766
GRU,64,2,False,150,2.521707251761806,0.5375626087188721
GRU,64,2,False,200,2.0246095641131068,0.5348644256591797
GRU,64,2,False,250,1.7453630282038164,0.5385644435882568
GRU,64,3,True,50,13.392488365588116,0.5438790321350098
GRU,64,3,True,100,3.870846439696169,0.5316305160522461
GRU,64,3,True,150,2.509361738115414,0.5365855693817139
GRU,64,3,True,200,2.378094588247632,0.536163330078125
GRU,64,3,True,250,1.9478695703068432,0.5297253131866455
GRU,64,3,False,50,18.784822614067444,0.5505640506744385
GRU,64,3,False,100,5.180703155611529,0.5714921951293945
GRU,64,3,False,150,2.9239231480988943,0.531585693359375
GRU,64,3,False,200,2.1749470828997968,0.5371303558349609
GRU,64,3,False,250,1.8029617439535104,0.533320426940918
GRU,128,1,True,50,3.669629020643217,0.608504056930542
GRU,128,1,True,100,1.4286730375467833,0.6114938259124756
GRU,128,1,True,150,1.1330678849009905,0.62229323387146
GRU,128,1,True,200,1.065255581808396,0.615384578704834
GRU,128,1,True,250,1.033702386970526,0.6303436756134033
GRU,128,1,False,50,3.8481956613613058,0.6196532249450684
GRU,128,1,False,100,1.4301491221025506,0.6213433742523193
GRU,128,1,False,150,1.1285282187003425,0.6074943542480469
GRU,128,1,False,200,1.0644520841678398,0.610490083694458
GRU,128,1,False,250,1.0333405642151723,0.6099650859832764
GRU,128,2,True,50,3.8562000456092185,0.6264147758483887
GRU,128,2,True,100,1.451590361861184,0.6134903430938721
GRU,128,2,True,150,1.1243898125940488,0.6193716526031494
GRU,128,2,True,200,1.0924248110232364,0.6094422340393066
GRU,128,2,True,250,1.0372659617136581,0.6133606433868408
GRU,128,2,False,50,4.2225739481378,0.611335277557373
GRU,128,2,False,100,1.4895734338519269,0.614492654800415
GRU,128,2,False,150,1.3972266083618576,0.6113653182983398
GRU,128,2,False,200,1.1628261274464755,0.6094002723693848
